ID;		i;	Function;	Probabil;	N
Matching (Iteration 01);	0;	0;  		46%;  		3755
Matching (Iteration 01);	1;	1;  		33%;  		2689
Matching (Iteration 01);	2;	2;  		14%;  		1155
Matching (Iteration 01);	3;	3;  		4%;  		373
Matching (Iteration 01);	4;	4;  		0%;  		56

Matching (Iteration 02);	0;	0;  		47%;  		3841
Matching (Iteration 02);	1;	1;  		32%;  		2632
Matching (Iteration 02);	2;	2;  		13%;  		1101
Matching (Iteration 02);	3;	3;  		4%;  		388
Matching (Iteration 02);	4;	4;  		0%;  		66

Matching (Iteration 03);	0;	0;  		48%;  		3902
Matching (Iteration 03);	1;	1;  		32%;  		2571
Matching (Iteration 03);	2;	2;  		13%;  		1088
Matching (Iteration 03);	3;	3;  		4%;  		397
Matching (Iteration 03);	4;	4;  		0%;  		70

Matching (Iteration 04);	0;	0;  		48%;  		3926
Matching (Iteration 04);	1;	1;  		31%;  		2546
Matching (Iteration 04);	2;	2;  		13%;  		1082
Matching (Iteration 04);	3;	3;  		5%;  		403
Matching (Iteration 04);	4;	4;  		0%;  		71

Matching (Iteration 05);	0;	0;  		49%;  		3958
Matching (Iteration 05);	1;	1;  		31%;  		2512
Matching (Iteration 05);	2;	2;  		13%;  		1072
Matching (Iteration 05);	3;	3;  		5%;  		415
Matching (Iteration 05);	4;	4;  		0%;  		71

Matching (Iteration 06);	0;	0;  		49%;  		3995
Matching (Iteration 06);	1;	1;  		30%;  		2466
Matching (Iteration 06);	2;	2;  		13%;  		1072
Matching (Iteration 06);	3;	3;  		5%;  		424
Matching (Iteration 06);	4;	4;  		0%;  		71

Matching (Iteration 07);	0;	0;  		49%;  		4005
Matching (Iteration 07);	1;	1;  		30%;  		2456
Matching (Iteration 07);	2;	2;  		13%;  		1067
Matching (Iteration 07);	3;	3;  		5%;  		429
Matching (Iteration 07);	4;	4;  		0%;  		71

Matching (Iteration 08);	0;	0;  		50%;  		4015
Matching (Iteration 08);	1;	1;  		30%;  		2449
Matching (Iteration 08);	2;	2;  		13%;  		1054
Matching (Iteration 08);	3;	3;  		5%;  		440
Matching (Iteration 08);	4;	4;  		0%;  		70

Matching (Iteration 09);	0;	0;  		50%;  		4029
Matching (Iteration 09);	1;	1;  		30%;  		2434
Matching (Iteration 09);	2;	2;  		12%;  		1038
Matching (Iteration 09);	3;	3;  		5%;  		462
Matching (Iteration 09);	4;	4;  		0%;  		65

Matching (Iteration 10);	0;	0;  		50%;  		4035
Matching (Iteration 10);	1;	1;  		30%;  		2425
Matching (Iteration 10);	2;	2;  		12%;  		1031
Matching (Iteration 10);	3;	3;  		5%;  		476
Matching (Iteration 10);	4;	4;  		0%;  		61

Matching (Iteration 11);	0;	0;  		50%;  		4029
Matching (Iteration 11);	1;	1;  		30%;  		2427
Matching (Iteration 11);	2;	2;  		12%;  		1028
Matching (Iteration 11);	3;	3;  		6%;  		489
Matching (Iteration 11);	4;	4;  		0%;  		55

Matching (Iteration 12);	0;	0;  		50%;  		4040
Matching (Iteration 12);	1;	1;  		30%;  		2409
Matching (Iteration 12);	2;	2;  		12%;  		1016
Matching (Iteration 12);	3;	3;  		6%;  		515
Matching (Iteration 12);	4;	4;  		0%;  		48

Matching (Iteration 13);	0;	0;  		50%;  		4054
Matching (Iteration 13);	1;	1;  		29%;  		2396
Matching (Iteration 13);	2;	2;  		12%;  		991
Matching (Iteration 13);	3;	3;  		6%;  		543
Matching (Iteration 13);	4;	4;  		0%;  		44

Matching (Iteration 14);	0;	0;  		50%;  		4080
Matching (Iteration 14);	1;	1;  		29%;  		2359
Matching (Iteration 14);	2;	2;  		12%;  		973
Matching (Iteration 14);	3;	3;  		7%;  		578
Matching (Iteration 14);	4;	4;  		0%;  		38

Matching (Iteration 15);	0;	0;  		51%;  		4101
Matching (Iteration 15);	1;	1;  		29%;  		2333
Matching (Iteration 15);	2;	2;  		11%;  		952
Matching (Iteration 15);	3;	3;  		7%;  		607
Matching (Iteration 15);	4;	4;  		0%;  		35

Matching (Iteration 16);	0;	0;  		51%;  		4113
Matching (Iteration 16);	1;	1;  		28%;  		2317
Matching (Iteration 16);	2;	2;  		11%;  		944
Matching (Iteration 16);	3;	3;  		7%;  		620
Matching (Iteration 16);	4;	4;  		0%;  		34

Matching (Iteration 17);	0;	0;  		51%;  		4124
Matching (Iteration 17);	1;	1;  		28%;  		2303
Matching (Iteration 17);	2;	2;  		11%;  		939
Matching (Iteration 17);	3;	3;  		7%;  		628
Matching (Iteration 17);	4;	4;  		0%;  		34

Matching (Iteration 18);	0;	0;  		51%;  		4132
Matching (Iteration 18);	1;	1;  		28%;  		2292
Matching (Iteration 18);	2;	2;  		11%;  		930
Matching (Iteration 18);	3;	3;  		7%;  		641
Matching (Iteration 18);	4;	4;  		0%;  		33

Matching (Iteration 19);	0;	0;  		51%;  		4132
Matching (Iteration 19);	1;	1;  		28%;  		2292
Matching (Iteration 19);	2;	2;  		11%;  		930
Matching (Iteration 19);	3;	3;  		7%;  		641
Matching (Iteration 19);	4;	4;  		0%;  		33

Matching (Iteration 20);	0;	0;  		51%;  		4132
Matching (Iteration 20);	1;	1;  		28%;  		2292
Matching (Iteration 20);	2;	2;  		11%;  		930
Matching (Iteration 20);	3;	3;  		7%;  		641
Matching (Iteration 20);	4;	4;  		0%;  		33
