/mnt/DATEN/Lernen/Doktorand/PerfectHashing/TestComparison/cmake-build-debug/TestComparison
ID;Bucket;Elements;Hash
0.98; 	0;   	1;  	0
0.98; 	1;   	2;  	0
0.98; 	2;   	2;  	0
0.98; 	3;   	0;  	0
0.98; 	4;   	2;  	0
0.98; 	5;   	1;  	2
0.98; 	6;   	1;  	2
0.98; 	7;   	5;  	0
0.98; 	8;   	1;  	2
0.98; 	9;   	2;  	2
0.98; 	10;   	1;  	0
0.98; 	11;   	1;  	0
0.98; 	12;   	1;  	1
0.98; 	13;   	1;  	2
0.98; 	14;   	0;  	0
0.98; 	15;   	2;  	9
0.98; 	16;   	2;  	4
0.98; 	17;   	0;  	0
0.98; 	18;   	4;  	0
0.98; 	19;   	3;  	0
0.98; 	20;   	3;  	5
0.98; 	21;   	2;  	0
0.98; 	22;   	2;  	2
0.98; 	23;   	2;  	8
0.98; 	24;   	2;  	4
0.98; 	25;   	0;  	0
0.98; 	26;   	1;  	0
0.98; 	27;   	2;  	1
0.98; 	28;   	1;  	2
0.98; 	29;   	5;  	0
0.98; 	30;   	1;  	4
0.98; 	31;   	2;  	1
0.98; 	32;   	2;  	9
0.98; 	33;   	1;  	8
0.98; 	34;   	2;  	3
0.98; 	35;   	2;  	1
0.98; 	36;   	5;  	1
0.98; 	37;   	1;  	0
0.98; 	38;   	4;  	0
0.98; 	39;   	2;  	2
0.98; 	40;   	0;  	0
0.98; 	41;   	1;  	9
0.98; 	42;   	4;  	1
0.98; 	43;   	2;  	4
0.98; 	44;   	0;  	0
0.98; 	45;   	2;  	11
0.98; 	46;   	3;  	1
0.98; 	47;   	2;  	4
0.98; 	48;   	5;  	0
0.98; 	49;   	1;  	1
0.98; 	50;   	0;  	0
0.98; 	51;   	1;  	3
0.98; 	52;   	1;  	0
0.98; 	53;   	0;  	0
0.98; 	54;   	3;  	4
0.98; 	55;   	1;  	3
0.98; 	56;   	2;  	0
0.98; 	57;   	3;  	3
0.98; 	58;   	2;  	9
0.98; 	59;   	1;  	1
0.98; 	60;   	4;  	0
0.98; 	61;   	3;  	2
0.98; 	62;   	3;  	0
0.98; 	63;   	0;  	0
0.98; 	64;   	1;  	4
0.98; 	65;   	6;  	1
0.98; 	66;   	0;  	0
0.98; 	67;   	2;  	3
0.98; 	68;   	7;  	0
0.98; 	69;   	2;  	12
0.98; 	70;   	2;  	5
0.98; 	71;   	0;  	0
0.98; 	72;   	2;  	0
0.98; 	73;   	3;  	6
0.98; 	74;   	3;  	0
0.98; 	75;   	3;  	5
0.98; 	76;   	3;  	3
0.98; 	77;   	3;  	11
0.98; 	78;   	4;  	1
0.98; 	79;   	2;  	0
0.98; 	80;   	1;  	1
0.98; 	81;   	1;  	1
0.98; 	82;   	0;  	0
0.98; 	83;   	2;  	11
0.98; 	84;   	3;  	0
0.98; 	85;   	2;  	6
0.98; 	86;   	0;  	0
0.98; 	87;   	4;  	2
0.98; 	88;   	1;  	0
0.98; 	89;   	3;  	1
0.98; 	90;   	2;  	4
0.98; 	91;   	3;  	1
0.98; 	92;   	2;  	12
0.98; 	93;   	1;  	1
0.98; 	94;   	1;  	9
0.98; 	95;   	0;  	0
0.98; 	96;   	2;  	4
0.98; 	97;   	1;  	2
0.98; 	98;   	0;  	0
0.98; 	99;   	3;  	10
0.98; 	100;   	2;  	1
0.98; 	101;   	2;  	3
0.98; 	102;   	4;  	0
0.98; 	103;   	1;  	2
0.98; 	104;   	0;  	0
0.98; 	105;   	0;  	0
0.98; 	106;   	1;  	1
0.98; 	107;   	2;  	1
0.98; 	108;   	4;  	0
0.98; 	109;   	4;  	0
0.98; 	110;   	1;  	5
0.98; 	111;   	3;  	0
0.98; 	112;   	1;  	12
0.98; 	113;   	3;  	8
0.98; 	114;   	1;  	11
0.98; 	115;   	0;  	0
0.98; 	116;   	2;  	0
0.98; 	117;   	4;  	1
0.98; 	118;   	0;  	0
0.98; 	119;   	0;  	0
0.98; 	120;   	1;  	4
0.98; 	121;   	2;  	13
0.98; 	122;   	4;  	2
0.98; 	123;   	1;  	4
0.98; 	124;   	6;  	0
0.98; 	125;   	3;  	2
0.98; 	126;   	3;  	1
0.98; 	127;   	1;  	6
0.98; 	128;   	0;  	0
0.98; 	129;   	2;  	1
0.98; 	130;   	2;  	11
0.98; 	131;   	2;  	8
0.98; 	132;   	0;  	0
0.98; 	133;   	3;  	2
0.98; 	134;   	1;  	2
0.98; 	135;   	1;  	12
0.98; 	136;   	0;  	0
0.98; 	137;   	1;  	1
0.98; 	138;   	1;  	2
0.98; 	139;   	3;  	2
0.98; 	140;   	1;  	8
0.98; 	141;   	1;  	21
0.98; 	142;   	3;  	14
0.98; 	143;   	2;  	13
0.98; 	144;   	3;  	0
0.98; 	145;   	0;  	0
0.98; 	146;   	0;  	0
0.98; 	147;   	4;  	3
0.98; 	148;   	3;  	0
0.98; 	149;   	1;  	4
0.98; 	150;   	4;  	7
0.98; 	151;   	1;  	5
0.98; 	152;   	0;  	0
0.98; 	153;   	1;  	1
0.98; 	154;   	0;  	0
0.98; 	155;   	1;  	3
0.98; 	156;   	2;  	1
0.98; 	157;   	0;  	0
0.98; 	158;   	1;  	8
0.98; 	159;   	0;  	0
0.98; 	160;   	1;  	5
0.98; 	161;   	1;  	16
0.98; 	162;   	2;  	34
0.98; 	163;   	0;  	0
0.98; 	164;   	1;  	1
0.98; 	165;   	2;  	34
0.98; 	166;   	2;  	13
0.98; 	167;   	4;  	0
0.98; 	168;   	0;  	0
0.98; 	169;   	2;  	0
0.98; 	170;   	1;  	1
0.98; 	171;   	0;  	0
0.98; 	172;   	4;  	1
0.98; 	173;   	5;  	0
0.98; 	174;   	2;  	26
0.98; 	175;   	2;  	16
0.98; 	176;   	0;  	0
0.98; 	177;   	1;  	0
0.98; 	178;   	2;  	1
0.98; 	179;   	1;  	3
0.98; 	180;   	0;  	0
0.98; 	181;   	1;  	7
0.98; 	182;   	1;  	3
0.98; 	183;   	1;  	1
0.98; 	184;   	2;  	0
0.98; 	185;   	0;  	0
0.98; 	186;   	4;  	0
0.98; 	187;   	1;  	2
0.98; 	188;   	3;  	20
0.98; 	189;   	4;  	1
0.98; 	190;   	1;  	14
0.98; 	191;   	0;  	0
0.98; 	192;   	2;  	1
0.98; 	193;   	2;  	7
0.98; 	194;   	5;  	0
0.98; 	195;   	1;  	0
0.98; 	196;   	1;  	7
0.98; 	197;   	2;  	10
0.98; 	198;   	0;  	0
0.98; 	199;   	1;  	2
0.98; 	200;   	2;  	6
0.98; 	201;   	2;  	18
0.98; 	202;   	1;  	0
0.98; 	203;   	2;  	1
0.98; 	204;   	0;  	0
0.98; 	205;   	3;  	25
0.98; 	206;   	1;  	4
0.98; 	207;   	4;  	1
0.98; 	208;   	2;  	9
0.98; 	209;   	4;  	1
0.98; 	210;   	2;  	47
0.98; 	211;   	0;  	0
0.98; 	212;   	4;  	2
0.98; 	213;   	5;  	0
0.98; 	214;   	1;  	3
0.98; 	215;   	2;  	2
0.98; 	216;   	1;  	15
0.98; 	217;   	2;  	10
0.98; 	218;   	1;  	2
0.98; 	219;   	1;  	0
0.98; 	220;   	2;  	0
0.98; 	221;   	3;  	12
0.98; 	222;   	2;  	2
0.98; 	223;   	2;  	11
0.98; 	224;   	4;  	2
0.98; 	225;   	2;  	5
0.98; 	226;   	1;  	16
0.98; 	227;   	3;  	2
0.98; 	228;   	1;  	14
0.98; 	229;   	0;  	0
0.98; 	230;   	2;  	12
0.98; 	231;   	4;  	0
0.98; 	232;   	3;  	6
0.98; 	233;   	3;  	2
0.98; 	234;   	3;  	0
0.98; 	235;   	3;  	2
0.98; 	236;   	0;  	0
0.98; 	237;   	0;  	0
0.98; 	238;   	0;  	0
0.98; 	239;   	1;  	16
0.98; 	240;   	1;  	0
0.98; 	241;   	4;  	0
0.98; 	242;   	4;  	1
0.98; 	243;   	4;  	0
0.98; 	244;   	0;  	0
0.98; 	245;   	1;  	9
0.98; 	246;   	1;  	3
0.98; 	247;   	3;  	6
0.98; 	248;   	4;  	0
0.98; 	249;   	0;  	0
0.98; 	250;   	1;  	3
0.98; 	251;   	2;  	7
0.98; 	252;   	3;  	5
0.98; 	253;   	3;  	5
0.98; 	254;   	1;  	2
0.98; 	255;   	2;  	1
0.98; 	256;   	3;  	9
0.98; 	257;   	3;  	8
0.98; 	258;   	2;  	1
0.98; 	259;   	2;  	2
0.98; 	260;   	0;  	0
0.98; 	261;   	2;  	10
0.98; 	262;   	3;  	0
0.98; 	263;   	1;  	9
0.98; 	264;   	2;  	1
0.98; 	265;   	3;  	6
0.98; 	266;   	3;  	0
0.98; 	267;   	3;  	0
0.98; 	268;   	2;  	0
0.98; 	269;   	4;  	1
0.98; 	270;   	0;  	0
0.98; 	271;   	3;  	0
0.98; 	272;   	2;  	4
0.98; 	273;   	2;  	4
0.98; 	274;   	2;  	7
0.98; 	275;   	0;  	0
0.98; 	276;   	0;  	0
0.98; 	277;   	2;  	5
0.98; 	278;   	3;  	0
0.98; 	279;   	1;  	0
0.98; 	280;   	1;  	2
0.98; 	281;   	1;  	14
