run;elementClass;classCost;percentage
50;0;0;6.09168
50;1;1;22.0748
50;1.6;1.6;71.8335
50;2;2;0
50;2.3;2.3;0
50;3;3;0
50;bump;3;0
50;bumpR;0;0
# Achieved fill rate: 80.957
0;0;0;1.02533
0;1;1;54.6441
0;1.6;1.6;0
0;2;2;44.3305
0;2.3;2.3;0
0;3;3;0
0;bump;3;0
0;bumpR;0;0
# Achieved fill rate: 80.957
75;0;0;4.52352
75;1;1;32.4487
75;1.6;1.6;49.3366
75;2;2;13.6912
75;2.3;2.3;0
75;3;3;0
75;bump;3;0
75;bumpR;0;0
# Achieved fill rate: 80.957
25;0;0;4.64415
25;1;1;37.696
25;1.6;1.6;40.8323
25;2;2;16.8275
25;2.3;2.3;0
25;3;3;0
25;bump;3;0
25;bumpR;0;0
# Achieved fill rate: 80.957
51;0;0;1.56815
51;1;1;12.0627
51;1.6;1.6;86.3691
51;2;2;0
51;2.3;2.3;0
51;3;3;0
51;bump;3;0
51;bumpR;0;0
# Achieved fill rate: 80.957
1;0;0;3.92039
1;1;1;19.7226
1;1.6;1.6;76.3571
1;2;2;0
1;2.3;2.3;0
1;3;3;0
1;bump;3;0
1;bumpR;0;0
# Achieved fill rate: 80.957
26;0;0;2.41255
26;1;1;30.579
26;1.6;1.6;67.0084
26;2;2;0
26;2.3;2.3;0
26;3;3;0
26;bump;3;0
26;bumpR;0;0
# Achieved fill rate: 80.957
76;0;0;3.31725
76;1;1;38.7214
76;1.6;1.6;54.3426
76;2;2;3.61882
76;2.3;2.3;0
76;3;3;0
76;bump;3;0
76;bumpR;0;0
# Achieved fill rate: 80.957
52;0;0;4.34258
52;1;1;0.422195
52;1.6;1.6;95.2352
52;2;2;0
52;2.3;2.3;0
52;3;3;0
52;bump;3;0
52;bumpR;0;0
# Achieved fill rate: 80.957
2;0;0;7.35826
2;1;1;11.2183
2;1.6;1.6;81.4234
2;2;2;0
2;2.3;2.3;0
2;3;3;0
2;bump;3;0
2;bumpR;0;0
# Achieved fill rate: 80.957
27;0;0;3.5585
27;1;1;23.6429
27;1.6;1.6;72.7986
27;2;2;0
27;2.3;2.3;0
27;3;3;0
27;bump;3;0
27;bumpR;0;0
# Achieved fill rate: 80.957
77;0;0;5.48854
77;1;1;13.3293
77;1.6;1.6;81.1821
77;2;2;0
77;2.3;2.3;0
77;3;3;0
77;bump;3;0
77;bumpR;0;0
# Achieved fill rate: 80.957
28;0;0;4.64415
28;1;1;5.85042
28;1.6;1.6;89.5054
28;2;2;0
28;2.3;2.3;0
28;3;3;0
28;bump;3;0
28;bumpR;0;0
# Achieved fill rate: 80.957
3;0;0;3.92039
3;1;1;42.5814
3;1.6;1.6;0.904704
3;2;2;0
3;2.3;2.3;52.5935
3;3;3;0
3;bump;3;0
3;bumpR;0;0
# Achieved fill rate: 80.957
53;0;0;1.08565
53;1;1;61.6405
53;1.6;1.6;2.6538
53;2;2;10.9771
53;2.3;2.3;0
53;3;3;23.6429
53;bump;3;0
53;bumpR;0;0
# Achieved fill rate: 80.957
78;0;0;6.69481
78;1;1;5.24729
78;1.6;1.6;0
78;2;2;88.0579
78;2.3;2.3;0
78;3;3;0
78;bump;3;0
78;bumpR;0;0
# Achieved fill rate: 80.957
29;0;0;2.17129
29;1;1;11.8215
29;1.6;1.6;86.0072
29;2;2;0
29;2.3;2.3;0
29;3;3;0
29;bump;3;0
29;bumpR;0;0
# Achieved fill rate: 80.957
4;0;0;0.904704
4;1;1;54.5838
4;1.6;1.6;12.0024
4;2;2;32.509
4;2.3;2.3;0
4;3;3;0
4;bump;3;0
4;bumpR;0;0
# Achieved fill rate: 80.957
79;0;0;0.422195
79;1;1;48.854
79;1.6;1.6;0
79;2;2;41.6164
79;2.3;2.3;9.10736
79;3;3;0
79;bump;3;0
79;bumpR;0;0
# Achieved fill rate: 80.957
30;0;0;2.59349
30;1;1;41.9783
30;1.6;1.6;0
30;2;2;55.4282
30;2.3;2.3;0
30;3;3;0
30;bump;3;0
30;bumpR;0;0
# Achieved fill rate: 80.957
5;0;0;4.8854
5;1;1;26.8396
5;1.6;1.6;41.5561
5;2;2;26.7189
5;2.3;2.3;0
5;3;3;0
5;bump;3;0
5;bumpR;0;0
# Achieved fill rate: 80.957
80;0;0;2.2316
80;1;1;41.8577
80;1.6;1.6;55.9107
80;2;2;0
80;2.3;2.3;0
80;3;3;0
80;bump;3;0
80;bumpR;0;0
# Achieved fill rate: 80.957
6;0;0;2.11098
6;1;1;5.00603
6;1.6;1.6;92.883
6;2;2;0
6;2.3;2.3;0
6;3;3;0
6;bump;3;0
6;bumpR;0;0
# Achieved fill rate: 80.957
81;0;0;4.4029
81;1;1;1.80941
81;1.6;1.6;93.7877
81;2;2;0
81;2.3;2.3;0
81;3;3;0
81;bump;3;0
81;bumpR;0;0
# Achieved fill rate: 80.957
31;0;0;2.05066
31;1;1;55.9107
31;1.6;1.6;18.3353
31;2;2;14.0531
31;2.3;2.3;9.65018
31;3;3;0
31;bump;3;0
31;bumpR;0;0
# Achieved fill rate: 80.957
54;0;0;2.05562
54;1;1;54.8972
54;1.6;1.6;39.9637
54;2;2;0
54;2.3;2.3;0
54;3;3;3.08343
54;bump;3;0.241838
54;bumpR;0;0
# Achieved fill rate: 80.7617
82;0;0;4.70446
82;1;1;12.9071
82;1.6;1.6;82.3884
82;2;2;0
82;2.3;2.3;0
82;3;3;0
82;bump;3;0
82;bumpR;0;0
# Achieved fill rate: 80.957
55;0;0;1.44753
55;1;1;42.3402
55;1.6;1.6;56.2123
55;2;2;0
55;2.3;2.3;0
55;3;3;0
55;bump;3;0
55;bumpR;0;0
# Achieved fill rate: 80.957
32;0;0;3.31725
32;1;1;50.7238
32;1.6;1.6;19.421
32;2;2;26.538
32;2.3;2.3;0
32;3;3;0
32;bump;3;0
32;bumpR;0;0
# Achieved fill rate: 80.957
7;0;0;1.14596
7;1;1;52.2919
7;1.6;1.6;27.6236
7;2;2;0
7;2.3;2.3;18.9385
7;3;3;0
7;bump;3;0
7;bumpR;0;0
# Achieved fill rate: 80.957
56;0;0;6.93607
56;1;1;22.316
56;1.6;1.6;70.7479
56;2;2;0
56;2.3;2.3;0
56;3;3;0
56;bump;3;0
56;bumpR;0;0
# Achieved fill rate: 80.957
83;0;0;6.27262
83;1;1;12.4849
83;1.6;1.6;41.1942
83;2;2;40.0483
83;2.3;2.3;0
83;3;3;0
83;bump;3;0
83;bumpR;0;0
# Achieved fill rate: 80.957
33;0;0;4.28227
33;1;1;21.7732
33;1.6;1.6;73.9445
33;2;2;0
33;2.3;2.3;0
33;3;3;0
33;bump;3;0
33;bumpR;0;0
# Achieved fill rate: 80.957
8;0;0;3.25694
8;1;1;36.731
8;1.6;1.6;60.0121
8;2;2;0
8;2.3;2.3;0
8;3;3;0
8;bump;3;0
8;bumpR;0;0
# Achieved fill rate: 80.957
57;0;0;2.6538
57;1;1;6.15199
57;1.6;1.6;91.1942
57;2;2;0
57;2.3;2.3;0
57;3;3;0
57;bump;3;0
57;bumpR;0;0
# Achieved fill rate: 80.957
84;0;0;4.10133
84;1;1;28.9505
84;1.6;1.6;66.9481
84;2;2;0
84;2.3;2.3;0
84;3;3;0
84;bump;3;0
84;bumpR;0;0
# Achieved fill rate: 80.957
9;0;0;3.9807
9;1;1;24.427
9;1.6;1.6;71.5923
9;2;2;0
9;2.3;2.3;0
9;3;3;0
9;bump;3;0
9;bumpR;0;0
# Achieved fill rate: 80.957
34;0;0;5.42823
34;1;1;16.5862
34;1.6;1.6;73.7033
34;2;2;4.28227
34;2.3;2.3;0
34;3;3;0
34;bump;3;0
34;bumpR;0;0
# Achieved fill rate: 80.957
58;0;0;4.94572
58;1;1;9.58987
58;1.6;1.6;85.4644
58;2;2;0
58;2.3;2.3;0
58;3;3;0
58;bump;3;0
58;bumpR;0;0
# Achieved fill rate: 80.957
85;0;0;3.9807
85;1;1;41.0133
85;1.6;1.6;39.8673
85;2;2;15.1387
85;2.3;2.3;0
85;3;3;0
85;bump;3;0
85;bumpR;0;0
# Achieved fill rate: 80.957
10;0;0;6.33293
10;1;1;17.0688
10;1.6;1.6;76.5983
10;2;2;0
10;2.3;2.3;0
10;3;3;0
10;bump;3;0
10;bumpR;0;0
# Achieved fill rate: 80.957
59;0;0;5.97105
59;1;1;18.3353
59;1.6;1.6;75.6936
59;2;2;0
59;2.3;2.3;0
59;3;3;0
59;bump;3;0
59;bumpR;0;0
# Achieved fill rate: 80.957
11;0;0;2.71411
11;1;1;34.9216
11;1.6;1.6;25.8745
11;2;2;36.4897
11;2.3;2.3;0
11;3;3;0
11;bump;3;0
11;bumpR;0;0
# Achieved fill rate: 80.957
35;0;0;0.66345
35;1;1;71.7732
35;1.6;1.6;0
35;2;2;0
35;2.3;2.3;2.47286
35;3;3;25.0905
35;bump;3;0
35;bumpR;0;0
# Achieved fill rate: 80.957
60;0;0;2.05066
60;1;1;53.3172
60;1.6;1.6;1.02533
60;2;2;41.3752
60;2.3;2.3;2.2316
60;3;3;0
60;bump;3;0
60;bumpR;0;0
# Achieved fill rate: 80.957
12;0;0;1.56815
12;1;1;25.573
12;1.6;1.6;72.8589
12;2;2;0
12;2.3;2.3;0
12;3;3;0
12;bump;3;0
12;bumpR;0;0
# Achieved fill rate: 80.957
86;0;0;1.75015
86;1;1;53.108
86;1.6;1.6;43.2106
86;2;2;0
86;2.3;2.3;0
86;3;3;1.9312
86;bump;3;0.06035
86;bumpR;0;0
# Achieved fill rate: 80.9082
36;0;0;1.99035
36;1;1;31.8456
36;1.6;1.6;66.1641
36;2;2;0
36;2.3;2.3;0
36;3;3;0
36;bump;3;0
36;bumpR;0;0
# Achieved fill rate: 80.957
13;0;0;3.01568
13;1;1;41.4355
13;1.6;1.6;55.5489
13;2;2;0
13;2.3;2.3;0
13;3;3;0
13;bump;3;0
13;bumpR;0;0
# Achieved fill rate: 80.957
61;0;0;0.784077
61;1;1;54.222
61;1.6;1.6;0
61;2;2;44.994
61;2.3;2.3;0
61;3;3;0
61;bump;3;0
61;bumpR;0;0
# Achieved fill rate: 80.957
87;0;0;2.89505
87;1;1;38.842
87;1.6;1.6;37.1532
87;2;2;21.1098
87;2.3;2.3;0
87;3;3;0
87;bump;3;0
87;bumpR;0;0
# Achieved fill rate: 80.957
37;0;0;1.08565
37;1;1;52.3522
37;1.6;1.6;36.9119
37;2;2;9.65018
37;2.3;2.3;0
37;3;3;0
37;bump;3;0
37;bumpR;0;0
# Achieved fill rate: 80.957
14;0;0;4.70446
14;1;1;14.8372
14;1.6;1.6;80.4584
14;2;2;0
14;2.3;2.3;0
14;3;3;0
14;bump;3;0
14;bumpR;0;0
# Achieved fill rate: 80.957
88;0;0;2.29192
88;1;1;38.5404
88;1.6;1.6;59.1677
88;2;2;0
88;2.3;2.3;0
88;3;3;0
88;bump;3;0
88;bumpR;0;0
# Achieved fill rate: 80.957
38;0;0;2.71411
38;1;1;39.7467
38;1.6;1.6;57.5392
38;2;2;0
38;2.3;2.3;0
38;3;3;0
38;bump;3;0
38;bumpR;0;0
# Achieved fill rate: 80.957
15;0;0;1.3269
15;1;1;28.2871
15;1.6;1.6;70.386
15;2;2;0
15;2.3;2.3;0
15;3;3;0
15;bump;3;0
15;bumpR;0;0
# Achieved fill rate: 80.957
62;0;0;4.70446
62;1;1;54.2823
62;1.6;1.6;6.99638
62;2;2;1.50784
62;2.3;2.3;0
62;3;3;32.509
62;bump;3;0
62;bumpR;0;0
# Achieved fill rate: 80.957
16;0;0;2.95537
16;1;1;19.3607
16;1.6;1.6;77.684
16;2;2;0
16;2.3;2.3;0
16;3;3;0
16;bump;3;0
16;bumpR;0;0
# Achieved fill rate: 80.957
89;0;0;1.26659
89;1;1;49.035
89;1.6;1.6;35.1628
89;2;2;0
89;2.3;2.3;14.5356
89;3;3;0
89;bump;3;0
89;bumpR;0;0
# Achieved fill rate: 80.957
63;0;0;3.19662
63;1;1;35.1628
63;1.6;1.6;61.6405
63;2;2;0
63;2.3;2.3;0
63;3;3;0
63;bump;3;0
63;bumpR;0;0
# Achieved fill rate: 80.957
39;0;0;0.66345
39;1;1;65.2593
39;1.6;1.6;12.1834
39;2;2;8.02171
39;2.3;2.3;0
39;3;3;13.8721
39;bump;3;0
39;bumpR;0;0
# Achieved fill rate: 80.957
17;0;0;6.27262
17;1;1;6.81544
17;1.6;1.6;86.9119
17;2;2;0
17;2.3;2.3;0
17;3;3;0
17;bump;3;0
17;bumpR;0;0
# Achieved fill rate: 80.957
90;0;0;1.7491
90;1;1;18.3957
90;1.6;1.6;79.8552
90;2;2;0
90;2.3;2.3;0
90;3;3;0
90;bump;3;0
90;bumpR;0;0
# Achieved fill rate: 80.957
64;0;0;5.60917
64;1;1;12.7865
64;1.6;1.6;81.6043
64;2;2;0
64;2.3;2.3;0
64;3;3;0
64;bump;3;0
64;bumpR;0;0
# Achieved fill rate: 80.957
91;0;0;3.13631
91;1;1;21.4717
91;1.6;1.6;75.392
91;2;2;0
91;2.3;2.3;0
91;3;3;0
91;bump;3;0
91;bumpR;0;0
# Achieved fill rate: 80.957
40;0;0;3.86007
40;1;1;42.9433
40;1.6;1.6;2.35223
40;2;2;50.8444
40;2.3;2.3;0
40;3;3;0
40;bump;3;0
40;bumpR;0;0
# Achieved fill rate: 80.957
18;0;0;1.44753
18;1;1;41.3148
18;1.6;1.6;56.2123
18;2;2;0
18;2.3;2.3;1.02533
18;3;3;0
18;bump;3;0
18;bumpR;0;0
# Achieved fill rate: 80.957
65;0;0;4.8854
65;1;1;33.9566
65;1.6;1.6;43.7877
65;2;2;17.3703
65;2.3;2.3;0
65;3;3;0
65;bump;3;0
65;bumpR;0;0
# Achieved fill rate: 80.957
41;0;0;2.41255
41;1;1;26.538
41;1.6;1.6;71.0495
41;2;2;0
41;2.3;2.3;0
41;3;3;0
41;bump;3;0
41;bumpR;0;0
# Achieved fill rate: 80.957
66;0;0;3.73945
66;1;1;33.8359
66;1.6;1.6;62.4246
66;2;2;0
66;2.3;2.3;0
66;3;3;0
66;bump;3;0
66;bumpR;0;0
# Achieved fill rate: 80.957
92;0;0;1.20627
92;1;1;59.7105
92;1.6;1.6;25.0302
92;2;2;0
92;2.3;2.3;2.53317
92;3;3;11.5199
92;bump;3;0
92;bumpR;0;0
# Achieved fill rate: 80.957
42;0;0;1.7491
42;1;1;8.56454
42;1.6;1.6;89.6864
42;2;2;0
42;2.3;2.3;0
42;3;3;0
42;bump;3;0
42;bumpR;0;0
# Achieved fill rate: 80.957
19;0;0;1.20627
19;1;1;64.6562
19;1.6;1.6;20.8082
19;2;2;0.965018
19;2.3;2.3;12.3643
19;3;3;0
19;bump;3;0
19;bumpR;0;0
# Achieved fill rate: 80.957
67;0;0;4.76478
67;1;1;32.0869
67;1.6;1.6;63.1484
67;2;2;0
67;2.3;2.3;0
67;3;3;0
67;bump;3;0
67;bumpR;0;0
# Achieved fill rate: 80.957
93;0;0;2.77443
93;1;1;11.5802
93;1.6;1.6;85.6454
93;2;2;0
93;2.3;2.3;0
93;3;3;0
93;bump;3;0
93;bumpR;0;0
# Achieved fill rate: 80.957
43;0;0;3.79976
43;1;1;15.199
43;1.6;1.6;81.0012
43;2;2;0
43;2.3;2.3;0
43;3;3;0
43;bump;3;0
43;bumpR;0;0
# Achieved fill rate: 80.957
20;0;0;7.35826
20;1;1;0.784077
20;1.6;1.6;91.8577
20;2;2;0
20;2.3;2.3;0
20;3;3;0
20;bump;3;0
20;bumpR;0;0
# Achieved fill rate: 80.957
68;0;0;3.9807
68;1;1;11.0977
68;1.6;1.6;84.9216
68;2;2;0
68;2.3;2.3;0
68;3;3;0
68;bump;3;0
68;bumpR;0;0
# Achieved fill rate: 80.957
94;0;0;4.52352
94;1;1;3.31725
94;1.6;1.6;92.1592
94;2;2;0
94;2.3;2.3;0
94;3;3;0
94;bump;3;0
94;bumpR;0;0
# Achieved fill rate: 80.957
21;0;0;4.82509
21;1;1;20.386
21;1.6;1.6;74.7889
21;2;2;0
21;2.3;2.3;0
21;3;3;0
21;bump;3;0
21;bumpR;0;0
# Achieved fill rate: 80.957
44;0;0;1.93004
44;1;1;63.6309
44;1.6;1.6;0.0603136
44;2;2;4.76478
44;2.3;2.3;29.614
44;3;3;0
44;bump;3;0
44;bumpR;0;0
# Achieved fill rate: 80.957
69;0;0;5.06634
69;1;1;14.3546
69;1.6;1.6;49.035
69;2;2;31.544
69;2.3;2.3;0
69;3;3;0
69;bump;3;0
69;bumpR;0;0
# Achieved fill rate: 80.957
22;0;0;4.04101
22;1;1;14.7165
22;1.6;1.6;0
22;2;2;81.2425
22;2.3;2.3;0
22;3;3;0
22;bump;3;0
22;bumpR;0;0
# Achieved fill rate: 80.957
45;0;0;3.19662
45;1;1;43.848
45;1.6;1.6;49.6381
45;2;2;3.31725
45;2.3;2.3;0
45;3;3;0
45;bump;3;0
45;bumpR;0;0
# Achieved fill rate: 80.957
95;0;0;1.38721
95;1;1;70.3257
95;1.6;1.6;0
95;2;2;12.0024
95;2.3;2.3;0.723764
95;3;3;15.5609
95;bump;3;0
95;bumpR;0;0
# Achieved fill rate: 80.957
70;0;0;8.20265
70;1;1;17.491
70;1.6;1.6;15.2593
70;2;2;59.047
70;2.3;2.3;0
70;3;3;0
70;bump;3;0
70;bumpR;0;0
# Achieved fill rate: 80.957
23;0;0;4.76478
23;1;1;15.9228
23;1.6;1.6;79.3124
23;2;2;0
23;2.3;2.3;0
23;3;3;0
23;bump;3;0
23;bumpR;0;0
# Achieved fill rate: 80.957
46;0;0;3.19662
46;1;1;34.4391
46;1.6;1.6;62.3643
46;2;2;0
46;2.3;2.3;0
46;3;3;0
46;bump;3;0
46;bumpR;0;0
# Achieved fill rate: 80.957
71;0;0;4.4029
71;1;1;1.08565
71;1.6;1.6;94.5115
71;2;2;0
71;2.3;2.3;0
71;3;3;0
71;bump;3;0
71;bumpR;0;0
# Achieved fill rate: 80.957
96;0;0;6.09168
96;1;1;20.6273
96;1.6;1.6;12.123
96;2;2;61.158
96;2.3;2.3;0
96;3;3;0
96;bump;3;0
96;bumpR;0;0
# Achieved fill rate: 80.957
47;0;0;6.45356
47;1;1;9.2883
47;1.6;1.6;84.2581
47;2;2;0
47;2.3;2.3;0
47;3;3;0
47;bump;3;0
47;bumpR;0;0
# Achieved fill rate: 80.957
72;0;0;0.180941
72;1;1;62.2437
72;1.6;1.6;12.9071
72;2;2;24.6683
72;2.3;2.3;0
72;3;3;0
72;bump;3;0
72;bumpR;0;0
# Achieved fill rate: 80.957
48;0;0;4.52352
48;1;1;0
48;1.6;1.6;95.4765
48;2;2;0
48;2.3;2.3;0
48;3;3;0
48;bump;3;0
48;bumpR;0;0
# Achieved fill rate: 80.957
24;0;0;2.53317
24;1;1;56.0917
24;1.6;1.6;26.1158
24;2;2;12.6055
24;2.3;2.3;0
24;3;3;2.6538
24;bump;3;0
24;bumpR;0;0
# Achieved fill rate: 80.957
49;0;0;2.41255
49;1;1;38.9023
49;1.6;1.6;58.6852
49;2;2;0
49;2.3;2.3;0
49;3;3;0
49;bump;3;0
49;bumpR;0;0
# Achieved fill rate: 80.957
73;0;0;3.19662
73;1;1;49.8794
73;1.6;1.6;4.64415
73;2;2;42.2799
73;2.3;2.3;0
73;3;3;0
73;bump;3;0
73;bumpR;0;0
# Achieved fill rate: 80.957
97;0;0;1.4484
97;1;1;50.9958
97;1.6;1.6;46.3488
97;2;2;0
97;2.3;2.3;0
97;3;3;1.207
97;bump;3;0.06035
97;bumpR;0;0
# Achieved fill rate: 80.9082
74;0;0;1.44753
74;1;1;49.7587
74;1.6;1.6;48.7937
74;2;2;0
74;2.3;2.3;0
74;3;3;0
74;bump;3;0
74;bumpR;0;0
# Achieved fill rate: 80.957
98;0;0;5.91074
98;1;1;8.80579
98;1.6;1.6;85.2835
98;2;2;0
98;2.3;2.3;0
98;3;3;0
98;bump;3;0
98;bumpR;0;0
# Achieved fill rate: 80.957
99;0;0;3.61882
99;1;1;26.2364
99;1.6;1.6;70.1448
99;2;2;0
99;2.3;2.3;0
99;3;3;0
99;bump;3;0
99;bumpR;0;0
# Achieved fill rate: 80.957
