run;elementClass;classCost;percentage
39;1;1;54.2373
39;2;2;6.92921
39;3;3;38.8335
39;bump;3;0.0498504
39;bumpR;0;0
# Achieved fill rate: 97.9492
76;1;1;54.8322
76;2;2;1.90285
76;3;3;43.2649
76;bump;3;0.500751
76;bumpR;0;0
# Achieved fill rate: 97.5098
52;1;1;49.4224
52;2;2;22.1999
52;3;3;28.3777
52;bump;3;0.803616
52;bumpR;0;0
# Achieved fill rate: 97.2168
64;1;1;54.4266
64;2;2;17.3038
64;3;3;28.2696
64;bump;3;0.955734
64;bumpR;0;0
# Achieved fill rate: 97.0703
0;1;1;55.5835
0;2;2;16.1469
0;3;3;28.2696
0;bump;3;0.955734
0;bumpR;0;0
# Achieved fill rate: 97.0703
88;1;1;55.6115
88;2;2;16.155
88;3;3;28.2335
88;bump;3;1.00654
88;bumpR;0;0
# Achieved fill rate: 97.0215
40;1;1;55.6956
40;2;2;16.1794
40;3;3;28.125
40;bump;3;1.15927
40;bumpR;0;0
# Achieved fill rate: 96.875
26;1;1;53.9354
26;2;2;18.0121
26;3;3;28.0525
26;bump;3;1.26135
26;bumpR;0;0
# Achieved fill rate: 96.7773
1;1;1;50.7746
1;2;2;15.942
1;3;3;33.2834
1;bump;3;0.29985
1;bumpR;0;0
# Achieved fill rate: 97.7051
13;1;1;55.3979
13;2;2;16.8779
13;3;3;27.7243
13;bump;3;1.72326
13;bumpR;0;0
# Achieved fill rate: 96.3379
14;1;1;43.8939
14;2;2;27.4775
14;3;3;28.6286
14;bump;3;0.45045
14;bumpR;0;0
# Achieved fill rate: 97.5586
27;1;1;55.6395
27;2;2;16.1631
27;3;3;28.1974
27;bump;3;1.0574
27;bumpR;0;0
# Achieved fill rate: 96.9727
89;1;1;55.7799
89;2;2;16.2039
89;3;3;28.0162
89;bump;3;1.31247
89;bumpR;0;0
# Achieved fill rate: 96.7285
41;1;1;53.6524
41;2;2;18.1864
41;3;3;28.1612
41;bump;3;1.10831
41;bumpR;0;0
# Achieved fill rate: 96.9238
65;1;1;54.472
65;2;2;17.5846
65;3;3;27.9434
65;bump;3;1.41486
65;bumpR;0;0
# Achieved fill rate: 96.6309
77;1;1;56.1199
77;2;2;16.3027
77;3;3;27.5775
77;bump;3;1.92991
77;bumpR;0;0
# Achieved fill rate: 96.1426
2;1;1;54.7787
2;2;2;16.9517
2;3;3;28.2696
2;bump;3;0.955734
2;bumpR;0;0
# Achieved fill rate: 97.0703
28;1;1;55.2224
28;2;2;16.042
28;3;3;28.7356
28;bump;3;0.29985
28;bumpR;0;0
# Achieved fill rate: 97.7051
53;1;1;55.5386
53;2;2;16.9207
53;3;3;27.5407
53;bump;3;1.98171
53;bumpR;0;0
# Achieved fill rate: 96.0938
29;1;1;53.3601
29;2;2;18.1545
29;3;3;28.4855
29;bump;3;0.651956
29;bumpR;0;0
# Achieved fill rate: 97.3633
54;1;1;47.0677
54;2;2;24.411
54;3;3;28.5213
54;bump;3;0.601504
54;bumpR;0;0
# Achieved fill rate: 97.4121
78;1;1;55.3095
78;2;2;11.2229
78;3;3;33.4675
78;bump;3;1.00654
78;bumpR;0;0
# Achieved fill rate: 97.0215
