run;elementClass;classCost;percentage
88;1;1;49.374
88;2;2;2.69326
88;3;3;47.9327
88;bump;3;0.021803
88;bumpR;0;0
# Achieved fill rate: 97.9786
39;1;1;50.1979
39;2;2;1.04797
39;3;3;48.7541
39;bump;3;0.00885634
39;bumpR;0;0
# Achieved fill rate: 97.9913
76;1;1;49.0272
76;2;2;6.67759
76;3;3;44.2952
76;bump;3;0.00749372
76;bumpR;0;0
# Achieved fill rate: 97.9926
64;1;1;50.8488
64;2;2;1.64986
64;3;3;47.5013
64;bump;3;0.011971
64;bumpR;0;0
# Achieved fill rate: 97.9882
0;1;1;50.8812
0;2;2;0.751276
0;3;3;48.3675
0;bump;3;0.0277421
0;bumpR;0;0
# Achieved fill rate: 97.9728
13;1;1;51.3387
13;2;2;0.176557
13;3;3;48.4848
13;bump;3;0.0169355
13;bumpR;0;0
# Achieved fill rate: 97.9834
52;1;1;50.76
52;2;2;11.1886
52;3;3;38.0514
52;bump;3;0.104137
52;bumpR;0;0
# Achieved fill rate: 97.898
26;1;1;50.39
26;2;2;14.9128
26;3;3;34.6971
26;bump;3;0.184946
26;bumpR;0;0
# Achieved fill rate: 97.819
1;1;1;51.0123
1;2;2;1.40027
1;3;3;47.5874
1;bump;3;0.0223872
1;bumpR;0;0
# Achieved fill rate: 97.978
77;1;1;50.8583
77;2;2;5.95788
77;3;3;43.1838
77;bump;3;0.0317344
77;bumpR;0;0
# Achieved fill rate: 97.9689
14;1;1;51.3225
14;2;2;0.468766
14;3;3;48.2088
14;bump;3;0.0428364
14;bumpR;0;0
# Achieved fill rate: 97.958
53;1;1;50.9918
53;2;2;0.661223
53;3;3;48.347
53;bump;3;0.0405963
53;bumpR;0;0
# Achieved fill rate: 97.9602
27;1;1;50.9059
27;2;2;1.13911
27;3;3;47.955
27;bump;3;0.039038
27;bumpR;0;0
# Achieved fill rate: 97.9617
2;1;1;49.9258
2;2;2;4.73116
2;3;3;45.343
2;bump;3;0.0177142
2;bumpR;0;0
# Achieved fill rate: 97.9826
65;1;1;49.0418
65;2;2;20.1083
65;3;3;30.8499
65;bump;3;0.286434
65;bumpR;0;0
# Achieved fill rate: 97.7201
15;1;1;50.9276
15;2;2;0.837281
15;3;3;48.2351
15;bump;3;0.0340714
15;bumpR;0;0
# Achieved fill rate: 97.9666
54;1;1;50.269
54;2;2;5.93727
54;3;3;43.7937
54;bump;3;0.0124577
54;bumpR;0;0
# Achieved fill rate: 97.9877
28;1;1;50.7676
28;2;2;0.353569
28;3;3;48.8788
28;bump;3;0.0355321
28;bumpR;0;0
# Achieved fill rate: 97.9651
16;1;1;49.9435
16;2;2;1.68498
16;3;3;48.3715
16;bump;3;0.0286184
16;bumpR;0;0
# Achieved fill rate: 97.9719
66;1;1;50.9224
66;2;2;1.2813
66;3;3;47.7963
66;bump;3;0.0353374
66;bumpR;0;0
# Achieved fill rate: 97.9653
89;1;1;50.4656
89;2;2;25.1417
89;3;3;24.3927
89;bump;3;1.0538
89;bumpR;0;0
# Achieved fill rate: 96.978
55;1;1;49.755
55;2;2;12.5843
55;3;3;37.6607
55;bump;3;0.0553048
55;bumpR;0;0
# Achieved fill rate: 97.9458
29;1;1;50.2726
29;2;2;7.23889
29;3;3;42.4885
29;bump;3;0.0244317
29;bumpR;0;0
# Achieved fill rate: 97.976
17;1;1;50.7902
17;2;2;0.560483
17;3;3;48.6493
17;bump;3;0.0442974
17;bumpR;0;0
# Achieved fill rate: 97.9566
67;1;1;49.5773
67;2;2;6.15626
67;3;3;44.2664
67;bump;3;0.00632579
67;bumpR;0;0
# Achieved fill rate: 97.9938
18;1;1;50.7378
18;2;2;0.315049
18;3;3;48.9471
18;bump;3;0.0140151
18;bumpR;0;0
# Achieved fill rate: 97.9862
90;1;1;51.6245
90;2;2;0.694396
90;3;3;47.6811
90;bump;3;0.0650479
90;bumpR;0;0
# Achieved fill rate: 97.9362
68;1;1;50.717
68;2;2;0.628334
68;3;3;48.6546
68;bump;3;0.0121657
68;bumpR;0;0
# Achieved fill rate: 97.988
30;1;1;50.8231
30;2;2;3.60685
30;3;3;45.57
30;bump;3;0.0301764
30;bumpR;0;0
# Achieved fill rate: 97.9704
56;1;1;50.3325
56;2;2;10.2248
56;3;3;39.4428
56;bump;3;0.0420572
56;bumpR;0;0
# Achieved fill rate: 97.9588
40;1;1;50.2456
40;2;2;32.071
40;3;3;17.6835
