run;elementClass;classCost;percentage
52;1;1;49.3408
52;1.6;1.6;2.2379
52;2;2;3.92003
52;2.3;2.3;5.08113
52;3;3;39.4201
52;bump;3;0.0381615
52;bumpR;0;0
# Achieved fill rate: 97.9626
39;1;1;51.2556
39;1.6;1.6;1.88152
39;2;2;0.412879
39;2.3;2.3;2.89668
39;3;3;43.5533
39;bump;3;0.0650479
39;bumpR;0;0
# Achieved fill rate: 97.9362
26;1;1;50.1986
26;1.6;1.6;4.03336
26;2;2;3.95428
26;2.3;2.3;1.98829
26;3;3;39.8255
26;bump;3;0.0771319
26;bumpR;0;0
# Achieved fill rate: 97.9244
64;1;1;50.166
64;1.6;1.6;0.816843
64;2;2;11.3356
64;2.3;2.3;0.252048
64;3;3;37.4295
64;bump;3;0.118181
64;bumpR;0;0
# Achieved fill rate: 97.8843
76;1;1;50.9628
76;1.6;1.6;4.31782
76;2;2;2.31421
76;2.3;2.3;2.72867
76;3;3;39.6765
76;bump;3;0.117596
76;bumpR;0;0
# Achieved fill rate: 97.8848
0;1;1;51.0555
0;1.6;1.6;7.71132
0;2;2;0.00409461
0;2.3;2.3;0.512704
0;3;3;40.7164
0;bump;3;0.18182
0;bumpR;0;0
# Achieved fill rate: 97.8221
88;1;1;50.0379
88;1.6;1.6;0.000684078
88;2;2;19.1384
88;2.3;2.3;0.749359
88;3;3;30.0737
88;bump;3;0.423053
88;bumpR;0;0
# Achieved fill rate: 97.5871
13;1;1;50.5937
13;1.6;1.6;12.1783
13;2;2;0.138226
13;2.3;2.3;0.106553
13;3;3;36.9832
13;bump;3;0.453486
13;bumpR;0;0
# Achieved fill rate: 97.5575
77;1;1;51.076
77;1.6;1.6;0.147294
77;2;2;0.290691
77;2.3;2.3;0.122063
77;3;3;48.3639
77;bump;3;0.105502
77;bumpR;0;0
# Achieved fill rate: 97.8967
65;1;1;49.9378
65;1.6;1.6;0.188455
65;2;2;3.20091
65;2.3;2.3;8.3289
65;3;3;38.3439
65;bump;3;0.0293974
65;bumpR;0;0
# Achieved fill rate: 97.9712
40;1;1;50.9356
40;1.6;1.6;4.88424
40;2;2;0.489242
40;2.3;2.3;0.562112
40;3;3;43.1288
40;bump;3;0.109013
40;bumpR;0;0
# Achieved fill rate: 97.8932
1;1;1;50.8056
1;1.6;1.6;0.0353323
1;2;2;4.86272
1;2.3;2.3;0.286844
1;3;3;44.0095
1;bump;3;0.0210242
1;bumpR;0;0
# Achieved fill rate: 97.9794
27;1;1;49.8034
27;1.6;1.6;0.0614811
27;2;2;13.9063
27;2.3;2.3;0.22371
27;3;3;36.0051
27;bump;3;0.124034
27;bumpR;0;0
# Achieved fill rate: 97.8786
53;1;1;49.0178
53;1.6;1.6;8.95418
53;2;2;8.92192
53;2.3;2.3;0.43534
53;3;3;32.6707
53;bump;3;0.439347
53;bumpR;0;0
# Achieved fill rate: 97.5713
89;1;1;50.978
89;1.6;1.6;1.42708
89;2;2;0.173516
89;2.3;2.3;7.71396
