run;elementClass;classCost;percentage
17;1;1;54.8823
17;1.6;1.6;2.90436
17;2;2;1.05158
17;2.3;2.3;0
17;3;3;41.1617
17;bump;3;0.500751
17;bumpR;0;0
# Achieved fill rate: 97.5098
51;1;1;60.8608
51;1.6;1.6;7.44304
51;2;2;2.58228
51;2.3;2.3;0
51;3;3;29.1139
51;bump;3;1.62025
51;bumpR;0;0
# Achieved fill rate: 96.4355
68;1;1;49.8463
68;1.6;1.6;19.7746
68;2;2;0
68;2.3;2.3;11.168
68;3;3;19.2111
68;bump;3;2.81762
68;bumpR;0;0
# Achieved fill rate: 95.3125
0;1;1;46.6391
0;1.6;1.6;3.82627
0;2;2;45.1396
0;2.3;2.3;0
0;3;3;4.39504
0;bump;3;3.77456
0;bumpR;0;0
# Achieved fill rate: 94.4336
34;1;1;61.051
34;1.6;1.6;0
34;2;2;24.9356
34;2.3;2.3;0
34;3;3;14.0134
34;bump;3;3.40031
34;bumpR;0;0
# Achieved fill rate: 94.7754
84;1;1;59.9272
84;1.6;1.6;0
84;2;2;11.6424
84;2.3;2.3;25.2079
84;3;3;3.22245
84;bump;3;4.31393
84;bumpR;0;0
# Achieved fill rate: 93.9453
69;1;1;57.2645
69;1.6;1.6;2.20441
69;2;2;0.801603
69;2.3;2.3;0
69;3;3;39.7295
69;bump;3;0.551102
69;bumpR;0;0
# Achieved fill rate: 97.4609
18;1;1;55.8778
18;1.6;1.6;0
18;2;2;32.7809
18;2.3;2.3;2.53755
18;3;3;8.80373
18;bump;3;3.93578
18;bumpR;0;0
# Achieved fill rate: 94.2871
52;1;1;56.2564
52;1.6;1.6;20.0513
52;2;2;1.23077
52;2.3;2.3;0
52;3;3;22.4615
52;bump;3;2.92308
52;bumpR;0;0
# Achieved fill rate: 95.2148
1;1;1;55.9857
1;1.6;1.6;12.6847
1;2;2;0
1;2.3;2.3;8.60927
1;3;3;22.7203
1;bump;3;2.24147
1;bumpR;0;0
# Achieved fill rate: 95.8496
35;1;1;57.3477
35;1.6;1.6;3.43062
35;2;2;14.9002
35;2.3;2.3;4.86431
35;3;3;19.4572
35;bump;3;2.76498
35;bumpR;0;0
# Achieved fill rate: 95.3613
85;1;1;60.1866
85;1.6;1.6;0.829445
85;2;2;0
85;2.3;2.3;35.6143
85;3;3;3.36962
85;bump;3;4.04355
85;bumpR;0;0
# Achieved fill rate: 94.1895
2;1;1;56.5574
2;1.6;1.6;0
2;2;2;0
2;2.3;2.3;40.9324
2;3;3;2.51025
2;bump;3;2.81762
2;bumpR;0;0
# Achieved fill rate: 95.3125
70;1;1;58.6798
70;1.6;1.6;12.1102
70;2;2;12.6819
70;2.3;2.3;1.09148
70;3;3;15.4366
70;bump;3;4.31393
70;bumpR;0;0
# Achieved fill rate: 93.9453
53;1;1;50.0775
53;1.6;1.6;20.6718
53;2;2;11.1628
53;2.3;2.3;12.8165
53;3;3;5.27132
53;bump;3;3.72093
53;bumpR;0;0
# Achieved fill rate: 94.4824
19;1;1;54.305
19;1.6;1.6;4.61618
19;2;2;13.9004
19;2.3;2.3;22.0954
19;3;3;5.08299
19;bump;3;4.09751
19;bumpR;0;0
# Achieved fill rate: 94.1406
36;1;1;54.6063
36;1.6;1.6;0
36;2;2;36.2326
36;2.3;2.3;0
36;3;3;9.16109
36;bump;3;3.29388
36;bumpR;0;0
# Achieved fill rate: 94.873
20;1;1;61.852
20;1.6;1.6;1.30851
20;2;2;1.30851
20;2.3;2.3;0
20;3;3;35.531
20;bump;3;1.00654
20;bumpR;0;0
# Achieved fill rate: 97.0215
71;1;1;56.0349
71;1.6;1.6;11.5562
71;2;2;8.37185
71;2.3;2.3;0.97586
71;3;3;23.0611
71;bump;3;3.08166
71;bumpR;0;0
# Achieved fill rate: 95.0684
3;1;1;64.3188
3;1.6;1.6;1.13111
3;2;2;11.5681
3;2.3;2.3;3.18766
3;3;3;19.7943
3;bump;3;3.18766
3;bumpR;0;0
# Achieved fill rate: 94.9707
54;1;1;54.3223
54;1.6;1.6;21.4834
54;2;2;0.920716
54;2.3;2.3;0
54;3;3;23.2737
54;bump;3;2.65985
54;bumpR;0;0
# Achieved fill rate: 95.459
86;1;1;55.82
86;1.6;1.6;1.91412
86;2;2;24.1593
86;2.3;2.3;5.84584
86;3;3;12.2607
86;bump;3;3.82825
86;bumpR;0;0
# Achieved fill rate: 94.3848
4;1;1;57.971
4;1.6;1.6;0.9995
4;2;2;0
4;2.3;2.3;9.14543
4;3;3;31.8841
4;bump;3;0.29985
4;bumpR;0;0
# Achieved fill rate: 97.7051
55;1;1;58.7087
55;1.6;1.6;8.75876
55;2;2;0
55;2.3;2.3;0
55;3;3;32.5325
55;bump;3;0.45045
55;bumpR;0;0
# Achieved fill rate: 97.5586
37;1;1;57.048
37;1.6;1.6;12.0531
37;2;2;4.39224
37;2.3;2.3;6.02656
37;3;3;20.4801
37;bump;3;2.50255
37;bumpR;0;0
# Achieved fill rate: 95.6055
5;1;1;58.7055
5;1.6;1.6;1.05369
5;2;2;1.20421
