perc1;perc2;succ;cost
36; 8; 200; 2.2
66; 0; 1; 1.68
6; 68; 200; 2.2
71; 0; 0; 1.58
61; 0; 22; 1.78
11; 58; 200; 2.2
56; 0; 113; 1.88
46; 0; 197; 2.08
21; 38; 200; 2.2
16; 48; 200; 2.2
0; 80; 200; 2.2
41; 0; 200; 2.18
31; 18; 200; 2.2
26; 28; 200; 2.2
51; 0; 181; 1.98
36; 9; 200; 2.19
71; 1; 0; 1.57
66; 1; 1; 1.67
21; 39; 200; 2.19
16; 49; 200; 2.19
46; 1; 196; 2.07
0; 81; 200; 2.19
26; 29; 200; 2.19
41; 1; 199; 2.17
11; 59; 200; 2.19
6; 69; 200; 2.19
61; 1; 24; 1.77
31; 19; 200; 2.19
56; 1; 117; 1.87
51; 1; 182; 1.97
36; 10; 200; 2.18
71; 2; 0; 1.56
66; 2; 1; 1.66
16; 50; 200; 2.18
41; 2; 199; 2.16
6; 70; 200; 2.18
21; 40; 200; 2.18
46; 2; 196; 2.06
11; 60; 200; 2.18
0; 82; 200; 2.18
26; 30; 200; 2.18
31; 20; 200; 2.18
51; 2; 175; 1.96
61; 2; 22; 1.76
56; 2; 125; 1.86
36; 11; 200; 2.17
71; 3; 0; 1.55
66; 3; 0; 1.65
6; 71; 200; 2.17
0; 83; 200; 2.17
41; 3; 200; 2.15
16; 51; 200; 2.17
31; 21; 200; 2.17
26; 31; 200; 2.17
11; 61; 200; 2.17
46; 3; 200; 2.05
21; 41; 200; 2.17
51; 3; 177; 1.95
61; 3; 15; 1.75
56; 3; 118; 1.85
36; 12; 200; 2.16
71; 4; 0; 1.54
66; 4; 0; 1.64
0; 84; 200; 2.16
41; 4; 200; 2.14
6; 72; 200; 2.16
31; 22; 200; 2.16
16; 52; 200; 2.16
21; 42; 200; 2.16
11; 62; 200; 2.16
26; 32; 200; 2.16
46; 4; 196; 2.04
51; 4; 180; 1.94
61; 4; 20; 1.74
36; 13; 200; 2.15
71; 5; 0; 1.53
56; 4; 119; 1.84
66; 5; 0; 1.63
0; 85; 200; 2.15
41; 5; 200; 2.13
31; 23; 200; 2.15
6; 73; 200; 2.15
16; 53; 200; 2.15
21; 43; 200; 2.15
11; 63; 200; 2.15
26; 33; 200; 2.15
46; 5; 198; 2.03
51; 5; 181; 1.93
71; 6; 0; 1.52
36; 14; 200; 2.14
61; 5; 16; 1.73
56; 5; 108; 1.83
6; 74; 200; 2.14
0; 86; 200; 2.14
16; 54; 200; 2.14
31; 24; 200; 2.14
41; 6; 199; 2.12
66; 6; 0; 1.62
11; 64; 200; 2.14
26; 34; 200; 2.14
21; 44; 200; 2.14
46; 6; 195; 2.02
71; 7; 0; 1.51
36; 15; 200; 2.13
51; 6; 179; 1.92
6; 75; 200; 2.13
61; 6; 17; 1.72
0; 87; 200; 2.13
56; 6; 109; 1.82
31; 25; 200; 2.13
11; 65; 200; 2.13
41; 7; 199; 2.11
66; 7; 0; 1.61
16; 55; 200; 2.13
26; 35; 200; 2.13
21; 45; 200; 2.13
