perc1;perc2;succ;cost
# 2^15
71; 0; 0; 1.58
66; 0; 0; 1.68
61; 0; 0; 1.78
71; 1; 0; 1.57
56; 0; 0; 1.88
66; 1; 0; 1.67
61; 1; 0; 1.77
71; 2; 0; 1.56
21; 38; 40; 2.2
26; 28; 40; 2.2
0; 80; 40; 2.2
6; 68; 40; 2.2
66; 2; 0; 1.66
36; 8; 40; 2.2
41; 0; 40; 2.18
31; 18; 40; 2.2
16; 48; 40; 2.2
11; 58; 40; 2.2
46; 0; 40; 2.08
71; 3; 0; 1.55
56; 1; 0; 1.87
51; 0; 16; 1.98
61; 2; 0; 1.76
66; 3; 0; 1.65
71; 4; 0; 1.54
61; 3; 0; 1.75
66; 4; 0; 1.64
71; 5; 0; 1.53
56; 2; 0; 1.86
21; 39; 40; 2.19
6; 69; 40; 2.19
0; 81; 40; 2.19
71; 6; 0; 1.52
66; 5; 0; 1.63
41; 1; 40; 2.17
16; 49; 40; 2.19
26; 29; 40; 2.19
36; 9; 40; 2.19
61; 4; 0; 1.74
11; 59; 40; 2.19
31; 19; 40; 2.19
71; 7; 0; 1.51
46; 1; 40; 2.07
66; 6; 0; 1.62
56; 3; 0; 1.85
51; 1; 21; 1.97
61; 5; 0; 1.73
71; 8; 0; 1.5
66; 7; 0; 1.61
61; 6; 0; 1.72
21; 40; 40; 2.18
71; 9; 0; 1.49
0; 82; 40; 2.18
41; 2; 40; 2.16
66; 8; 0; 1.6
26; 30; 40; 2.18
16; 50; 40; 2.18
6; 70; 40; 2.18
56; 4; 0; 1.84
31; 20; 40; 2.18
11; 60; 40; 2.18
36; 10; 40; 2.18
61; 7; 0; 1.71
71; 10; 0; 1.48
66; 9; 0; 1.59
71; 11; 0; 1.47
46; 2; 40; 2.06
61; 8; 0; 1.7
66; 10; 0; 1.58
56; 5; 0; 1.83
51; 2; 16; 1.96
72; 0; 0; 1.56
21; 41; 40; 2.17
72; 1; 0; 1.55
41; 3; 40; 2.15
61; 9; 0; 1.69
36; 11; 40; 2.17
66; 11; 0; 1.57
26; 31; 40; 2.17
0; 83; 40; 2.17
6; 71; 40; 2.17
16; 51; 40; 2.17
31; 21; 40; 2.17
11; 61; 40; 2.17
72; 2; 0; 1.54
56; 6; 0; 1.82
66; 12; 0; 1.56
61; 10; 0; 1.68
72; 3; 0; 1.53
21; 42; 40; 2.16
66; 13; 0; 1.55
61; 11; 0; 1.67
72; 4; 0; 1.52
46; 3; 40; 2.05
51; 3; 12; 1.95
56; 7; 0; 1.81
41; 4; 40; 2.14
36; 12; 40; 2.16
11; 62; 40; 2.16
0; 84; 40; 2.16
26; 32; 40; 2.16
6; 72; 40; 2.16
66; 14; 0; 1.54
31; 22; 40; 2.16
72; 5; 0; 1.51
16; 52; 40; 2.16
61; 12; 0; 1.66
66; 15; 0; 1.53
72; 6; 0; 1.5
56; 8; 0; 1.8
21; 43; 40; 2.15
61; 13; 0; 1.65
72; 7; 0; 1.49
66; 16; 0; 1.52
36; 13; 40; 2.15
72; 8; 0; 1.48
46; 4; 40; 2.04
11; 63; 40; 2.15
41; 5; 40; 2.13
61; 14; 0; 1.64
31; 23; 40; 2.15
0; 85; 40; 2.15
6; 73; 40; 2.15
51; 4; 9; 1.94
26; 33; 40; 2.15
66; 17; 0; 1.51
16; 53; 40; 2.15
73; 0; 0; 1.54
56; 9; 0; 1.79
61; 15; 0; 1.63
73; 1; 0; 1.53
66; 18; 0; 1.5
21; 44; 40; 2.14
73; 2; 0; 1.52
36; 14; 40; 2.14
66; 19; 0; 1.49
56; 10; 0; 1.78
61; 16; 0; 1.62
73; 3; 0; 1.51
41; 6; 40; 2.12
11; 64; 40; 2.14
0; 86; 40; 2.14
46; 5; 39; 2.03
31; 24; 40; 2.14
26; 34; 40; 2.14
16; 54; 40; 2.14
6; 74; 40; 2.14
66; 20; 0; 1.48
73; 4; 0; 1.5
51; 5; 5; 1.93
61; 17; 0; 1.61
73; 5; 0; 1.49
21; 45; 40; 2.13
66; 21; 0; 1.47
56; 11; 0; 1.77
61; 18; 0; 1.6
74; 0; 0; 1.52
36; 15; 40; 2.13
66; 22; 0; 1.46
74; 1; 0; 1.51
41; 7; 40; 2.11
61; 19; 0; 1.59
11; 65; 40; 2.13
31; 25; 40; 2.13
0; 87; 40; 2.13
26; 35; 40; 2.13
16; 55; 40; 2.13
46; 6; 40; 2.02
74; 2; 0; 1.5
6; 75; 40; 2.13
56; 12; 0; 1.76
66; 23; 0; 1.45
75; 0; 0; 1.5
61; 20; 0; 1.58
51; 6; 4; 1.92
21; 46; 40; 2.12
66; 24; 0; 1.44
36; 16; 40; 2.12
56; 13; 0; 1.75
41; 8; 40; 2.1
66; 25; 0; 1.43
61; 21; 0; 1.57
31; 26; 40; 2.12
11; 66; 40; 2.12
6; 76; 40; 2.12
0; 88; 40; 2.12
26; 36; 40; 2.12
67; 0; 0; 1.66
16; 56; 40; 2.12
46; 7; 39; 2.01
56; 14; 0; 1.74
61; 22; 0; 1.56
67; 1; 0; 1.65
21; 47; 40; 2.11
51; 7; 3; 1.91
