perc1;perc2;succ;cost
79; 0; 0; 1.42
80; 0; 0; 1.4
77; 0; 0; 1.46
75; 0; 0; 1.5
78; 0; 0; 1.44
73; 0; 0; 1.54
71; 0; 0; 1.58
67; 0; 11; 1.66
61; 0; 34; 1.78
65; 0; 18; 1.7
45; 0; 40; 2.1
59; 0; 37; 1.82
53; 0; 40; 1.94
69; 0; 7; 1.62
49; 0; 40; 2.02
55; 0; 40; 1.9
51; 0; 40; 1.98
63; 0; 29; 1.74
47; 0; 40; 2.06
57; 0; 39; 1.86
80; 1; 0; 1.39
79; 1; 0; 1.41
73; 1; 0; 1.53
75; 1; 0; 1.49
78; 1; 0; 1.43
77; 1; 0; 1.45
71; 1; 2; 1.57
67; 1; 11; 1.65
55; 1; 40; 1.89
61; 1; 35; 1.77
69; 1; 7; 1.61
45; 1; 40; 2.09
49; 1; 40; 2.01
51; 1; 40; 1.97
65; 1; 25; 1.69
59; 1; 39; 1.81
53; 1; 39; 1.93
63; 1; 32; 1.73
57; 1; 39; 1.85
47; 1; 40; 2.05
79; 2; 0; 1.4
80; 2; 0; 1.38
73; 2; 0; 1.52
78; 2; 0; 1.42
75; 2; 0; 1.48
77; 2; 0; 1.44
71; 2; 4; 1.56
67; 2; 12; 1.64
69; 2; 5; 1.6
59; 2; 37; 1.8
45; 2; 40; 2.08
55; 2; 39; 1.88
49; 2; 40; 2
65; 2; 17; 1.68
51; 2; 40; 1.96
47; 2; 40; 2.04
53; 2; 40; 1.92
63; 2; 28; 1.72
61; 2; 34; 1.76
57; 2; 37; 1.84
79; 3; 0; 1.39
78; 3; 0; 1.41
80; 3; 0; 1.37
73; 3; 1; 1.51
75; 3; 0; 1.47
77; 3; 0; 1.43
71; 3; 1; 1.55
67; 3; 15; 1.63
69; 3; 7; 1.59
55; 3; 39; 1.87
51; 3; 40; 1.95
45; 3; 40; 2.07
61; 3; 36; 1.75
59; 3; 38; 1.79
49; 3; 40; 1.99
47; 3; 40; 2.03
65; 3; 26; 1.67
63; 3; 31; 1.71
53; 3; 40; 1.91
57; 3; 40; 1.83
79; 4; 0; 1.38
80; 4; 0; 1.36
78; 4; 0; 1.4
75; 4; 0; 1.46
77; 4; 0; 1.42
73; 4; 0; 1.5
71; 4; 0; 1.54
67; 4; 14; 1.62
55; 4; 40; 1.86
69; 4; 6; 1.58
51; 4; 39; 1.94
45; 4; 40; 2.06
65; 4; 19; 1.66
49; 4; 40; 1.98
59; 4; 38; 1.78
61; 4; 37; 1.74
47; 4; 39; 2.02
79; 5; 0; 1.37
53; 4; 40; 1.9
63; 4; 36; 1.7
80; 5; 0; 1.35
57; 4; 39; 1.82
78; 5; 0; 1.39
77; 5; 0; 1.41
73; 5; 0; 1.49
75; 5; 0; 1.45
71; 5; 1; 1.53
67; 5; 11; 1.61
69; 5; 6; 1.57
51; 5; 39; 1.93
79; 6; 0; 1.36
80; 6; 0; 1.34
65; 5; 24; 1.65
55; 5; 39; 1.85
49; 5; 40; 1.97
61; 5; 34; 1.73
45; 5; 40; 2.05
78; 6; 0; 1.38
63; 5; 27; 1.69
53; 5; 40; 1.89
59; 5; 37; 1.77
47; 5; 40; 2.01
77; 6; 0; 1.4
57; 5; 38; 1.81
75; 6; 0; 1.44
73; 6; 0; 1.48
71; 6; 1; 1.52
67; 6; 14; 1.6
79; 7; 0; 1.35
78; 7; 0; 1.37
80; 7; 0; 1.33
69; 6; 3; 1.56
51; 6; 39; 1.92
55; 6; 40; 1.84
49; 6; 40; 1.96
77; 7; 0; 1.39
65; 6; 25; 1.64
61; 6; 35; 1.72
45; 6; 40; 2.04
59; 6; 39; 1.76
63; 6; 31; 1.68
53; 6; 40; 1.88
75; 7; 0; 1.43
47; 6; 40; 2
73; 7; 0; 1.47
57; 6; 39; 1.8
71; 7; 1; 1.51
67; 7; 13; 1.59
78; 8; 0; 1.36
80; 8; 0; 1.32
79; 8; 0; 1.34
77; 8; 0; 1.38
69; 7; 4; 1.55
51; 7; 40; 1.91
49; 7; 40; 1.95
59; 7; 35; 1.75
75; 8; 0; 1.42
61; 7; 37; 1.71
55; 7; 39; 1.83
65; 7; 19; 1.63
45; 7; 40; 2.03
63; 7; 34; 1.67
73; 8; 0; 1.46
47; 7; 40; 1.99
53; 7; 40; 1.87
57; 7; 38; 1.79
71; 8; 3; 1.5
80; 9; 0; 1.31
79; 9; 0; 1.33
78; 9; 0; 1.35
67; 8; 11; 1.58
77; 9; 0; 1.37
69; 8; 6; 1.54
75; 9; 0; 1.41
51; 8; 38; 1.9
59; 8; 40; 1.74
65; 8; 21; 1.62
49; 8; 39; 1.94
73; 9; 0; 1.45
61; 8; 34; 1.7
55; 8; 40; 1.82
45; 8; 40; 2.02
63; 8; 30; 1.66
53; 8; 40; 1.86
47; 8; 39; 1.98
71; 9; 2; 1.49
80; 10; 0; 1.3
57; 8; 39; 1.78
79; 10; 0; 1.32
78; 10; 0; 1.34
67; 9; 17; 1.57
77; 10; 0; 1.36
69; 9; 5; 1.53
75; 10; 0; 1.4
73; 10; 0; 1.44
51; 9; 40; 1.89
59; 9; 39; 1.73
65; 9; 27; 1.61
55; 9; 39; 1.81
79; 11; 0; 1.31
61; 9; 35; 1.69
49; 9; 40; 1.93
80; 11; 0; 1.29
63; 9; 28; 1.65
78; 11; 0; 1.33
45; 9; 40; 2.01
53; 9; 40; 1.85
47; 9; 40; 1.97
71; 10; 1; 1.48
57; 9; 39; 1.77
67; 10; 14; 1.56
77; 11; 0; 1.35
69; 10; 4; 1.52
75; 11; 0; 1.39
73; 11; 0; 1.43
79; 12; 0; 1.3
80; 12; 0; 1.28
59; 10; 39; 1.72
51; 10; 40; 1.88
49; 10; 40; 1.92
78; 12; 0; 1.32
65; 10; 18; 1.6
61; 10; 35; 1.68
55; 10; 40; 1.8
63; 10; 27; 1.64
71; 11; 1; 1.47
45; 10; 40; 2
47; 10; 40; 1.96
53; 10; 39; 1.84
77; 12; 0; 1.34
57; 10; 40; 1.76
67; 11; 23; 1.55
