perc1;perc2;succ;cost
65; 0; 0; 1.6335
52; 0; 31; 1.8688
0; 80; 40; 2.162
13; 54; 40; 2.1373
26; 28; 40; 2.1126
39; 2; 40; 2.0879
65; 1; 0; 1.6254
52; 1; 24; 1.8607
0; 81; 40; 2.1539
65; 2; 0; 1.6173
13; 55; 40; 2.1292
26; 29; 40; 2.1045
39; 3; 40; 2.0798
0; 82; 40; 2.1458
52; 2; 32; 1.8526
65; 3; 0; 1.6092
0; 83; 40; 2.1377
13; 56; 40; 2.1211
52; 3; 30; 1.8445
26; 30; 40; 2.0964
65; 4; 0; 1.6011
39; 4; 40; 2.0717
0; 84; 40; 2.1296
52; 4; 25; 1.8364
65; 5; 0; 1.593
13; 57; 40; 2.113
0; 85; 40; 2.1215
26; 31; 40; 2.0883
39; 5; 40; 2.0636
65; 6; 0; 1.5849
52; 5; 20; 1.8283
0; 86; 40; 2.1134
13; 58; 40; 2.1049
26; 32; 40; 2.0802
65; 7; 0; 1.5768
52; 6; 17; 1.8202
39; 6; 40; 2.0555
0; 87; 40; 2.1053
65; 8; 0; 1.5687
13; 59; 40; 2.0968
52; 7; 12; 1.8121
0; 88; 39; 2.0972
26; 33; 40; 2.0721
39; 7; 40; 2.0474
65; 9; 0; 1.5606
0; 89; 40; 2.0891
52; 8; 13; 1.804
13; 60; 40; 2.0887
65; 10; 0; 1.5525
26; 34; 40; 2.064
0; 90; 36; 2.081
52; 9; 11; 1.7959
39; 8; 40; 2.0393
13; 61; 40; 2.0806
65; 11; 0; 1.5444
0; 91; 37; 2.0729
26; 35; 40; 2.0559
65; 12; 0; 1.5363
52; 10; 13; 1.7878
39; 9; 40; 2.0312
0; 92; 36; 2.0648
13; 62; 40; 2.0725
26; 36; 40; 2.0478
65; 13; 0; 1.5282
0; 93; 28; 2.0567
52; 11; 4; 1.7797
39; 10; 40; 2.0231
13; 63; 40; 2.0644
65; 14; 0; 1.5201
0; 94; 24; 2.0486
26; 37; 40; 2.0397
52; 12; 1; 1.7716
65; 15; 0; 1.512
39; 11; 40; 2.015
26; 38; 40; 2.0316
13; 64; 40; 2.0563
0; 95; 24; 2.0405
65; 16; 0; 1.5039
52; 13; 0; 1.7635
39; 12; 40; 2.0069
26; 39; 40; 2.0235
0; 96; 20; 2.0324
13; 65; 40; 2.0482
65; 17; 0; 1.4958
26; 40; 40; 2.0154
39; 13; 40; 1.9988
52; 14; 0; 1.7554
65; 18; 0; 1.4877
0; 97; 10; 2.0243
13; 66; 40; 2.0401
26; 41; 39; 2.0073
39; 14; 40; 1.9907
65; 19; 0; 1.4796
26; 42; 40; 1.9992
52; 15; 0; 1.7473
39; 15; 39; 1.9826
0; 98; 7; 2.0162
