perc1;perc2;succ;cost
66; 0; 0; 1.68
71; 0; 0; 1.58
61; 0; 0; 1.78
21; 38; 40; 2.3254
16; 48; 40; 2.3584
51; 0; 33; 1.98
26; 28; 40; 2.2924
0; 80; 40; 2.464
11; 58; 40; 2.3914
31; 18; 40; 2.2594
6; 68; 40; 2.4244
41; 0; 40; 2.18
56; 0; 9; 1.88
36; 8; 40; 2.2264
71; 1; 0; 1.5733
46; 0; 39; 2.08
66; 1; 0; 1.6733
61; 1; 0; 1.7733
71; 2; 0; 1.5666
21; 39; 40; 2.3187
66; 2; 0; 1.6666
0; 81; 40; 2.4573
16; 49; 40; 2.3517
36; 9; 40; 2.2197
26; 29; 40; 2.2857
11; 59; 40; 2.3847
41; 1; 40; 2.1733
6; 69; 40; 2.4177
51; 1; 32; 1.9733
56; 1; 12; 1.8733
31; 19; 40; 2.2527
46; 1; 39; 2.0733
71; 3; 0; 1.5599
61; 2; 0; 1.7666
66; 3; 0; 1.6599
21; 40; 40; 2.312
71; 4; 0; 1.5532
0; 82; 40; 2.4506
16; 50; 40; 2.345
11; 60; 40; 2.378
26; 30; 40; 2.279
6; 70; 40; 2.411
36; 10; 40; 2.213
56; 2; 11; 1.8666
41; 2; 40; 2.1666
31; 20; 40; 2.246
51; 2; 36; 1.9666
61; 3; 0; 1.7599
66; 4; 0; 1.6532
46; 2; 39; 2.0666
71; 5; 0; 1.5465
0; 83; 40; 2.4439
71; 6; 0; 1.5398
16; 51; 40; 2.3383
21; 41; 40; 2.3053
11; 61; 40; 2.3713
66; 5; 0; 1.6465
26; 31; 40; 2.2723
6; 71; 40; 2.4043
56; 3; 12; 1.8599
61; 4; 0; 1.7532
36; 11; 40; 2.2063
31; 21; 40; 2.2393
71; 7; 0; 1.5331
41; 3; 40; 2.1599
51; 3; 32; 1.9599
46; 3; 40; 2.0599
0; 84; 40; 2.4372
66; 6; 0; 1.6398
71; 8; 0; 1.5264
16; 52; 40; 2.3316
21; 42; 40; 2.2986
61; 5; 1; 1.7465
56; 4; 14; 1.8532
11; 62; 40; 2.3646
26; 32; 40; 2.2656
6; 72; 40; 2.3976
36; 12; 40; 2.1996
66; 7; 0; 1.6331
41; 4; 39; 2.1532
31; 22; 40; 2.2326
71; 9; 0; 1.5197
0; 85; 40; 2.4305
46; 4; 40; 2.0532
51; 4; 35; 1.9532
61; 6; 0; 1.7398
66; 8; 0; 1.6264
6; 73; 40; 2.3909
56; 5; 9; 1.8465
16; 53; 40; 2.3249
21; 43; 40; 2.2919
71; 10; 0; 1.513
11; 63; 40; 2.3579
26; 33; 40; 2.2589
36; 13; 40; 2.1929
31; 23; 40; 2.2259
41; 5; 40; 2.1465
0; 86; 40; 2.4238
66; 9; 0; 1.6197
71; 11; 0; 1.5063
61; 7; 0; 1.7331
6; 74; 40; 2.3842
51; 5; 33; 1.9465
46; 5; 40; 2.0465
56; 6; 7; 1.8398
16; 54; 40; 2.3182
21; 44; 40; 2.2852
11; 64; 40; 2.3512
72; 0; 0; 1.56
66; 10; 0; 1.613
26; 34; 40; 2.2522
31; 24; 40; 2.2192
61; 8; 0; 1.7264
36; 14; 40; 2.1862
41; 6; 40; 2.1398
0; 87; 40; 2.4171
72; 1; 0; 1.5533
6; 75; 40; 2.3775
51; 6; 32; 1.9398
66; 11; 0; 1.6063
46; 6; 38; 2.0398
56; 7; 13; 1.8331
11; 65; 40; 2.3445
16; 55; 40; 2.3115
72; 2; 0; 1.5466
21; 45; 40; 2.2785
61; 9; 0; 1.7197
