k;threshold;success
2;1.35;0
2;1.36;0
2;1.37;0
2;1.38;0
2;1.39;0
2;1.4;0
2;1.41;0
2;1.42;0
2;1.43;0
2;1.44;0
2;1.45;0
2;1.46;0
2;1.47;0
2;1.48;0
2;1.49;0
2;1.5;0
2;1.51;0
2;1.52;0
2;1.53;0
2;1.54;0
2;1.55;0
2;1.56;0
2;1.57;0
2;1.58;0
2;1.59;0
2;1.6;0
2;1.61;0
2;1.62;0
2;1.63;0
2;1.64;0
2;1.65;0
2;1.66;0
2;1.67;0
2;1.68;0
2;1.69;0
2;1.7;0
2;1.71;0
2;1.72;0
2;1.73;0
2;1.74;0
2;1.75;0
2;1.76;0
2;1.77;0
2;1.78;0
2;1.79;0
2;1.8;0
3;1.35;0
3;1.36;0
3;1.37;0
3;1.38;0
3;1.39;0
3;1.4;0
3;1.41;0
3;1.42;0
3;1.43;0
3;1.44;2
3;1.45;0
3;1.46;0
3;1.47;2
3;1.48;2
3;1.49;4
3;1.5;8
3;1.51;8
3;1.52;8
3;1.53;8
3;1.54;12
3;1.55;18
3;1.56;24
3;1.57;24
3;1.58;36
3;1.59;38
3;1.6;34
3;1.61;50
3;1.62;50
3;1.63;60
3;1.64;72
3;1.65;76
3;1.66;78
3;1.67;72
3;1.68;78
3;1.69;84
3;1.7;84
3;1.71;94
3;1.72;92
3;1.73;94
3;1.74;92
3;1.75;94
3;1.76;98
3;1.77;100
3;1.78;98
3;1.79;100
3;1.8;98
4;1.35;0
4;1.36;0
4;1.37;2
4;1.38;2
4;1.39;4
4;1.4;2
4;1.41;6
4;1.42;6
4;1.43;8
4;1.44;12
4;1.45;12
4;1.46;14
4;1.47;20
4;1.48;20
4;1.49;30
4;1.5;38
4;1.51;46
4;1.52;60
4;1.53;58
4;1.54;60
4;1.55;76
4;1.56;78
4;1.57;88
4;1.58;84
4;1.59;86
4;1.6;92
4;1.61;92
4;1.62;98
4;1.63;96
4;1.64;98
4;1.65;100
4;1.66;100
4;1.67;100
4;1.68;100
4;1.69;100
4;1.7;100
4;1.71;100
4;1.72;100
4;1.73;100
4;1.74;100
4;1.75;100
4;1.76;100
4;1.77;100
4;1.78;100
4;1.79;100
4;1.8;100
5;1.35;0
5;1.36;2
5;1.37;4
5;1.38;6
5;1.39;4
5;1.4;4
5;1.41;8
5;1.42;10
5;1.43;14
5;1.44;20
5;1.45;26
5;1.46;30
5;1.47;36
5;1.48;42
5;1.49;50
5;1.5;60
5;1.51;64
5;1.52;76
5;1.53;76
5;1.54;86
5;1.55;86
5;1.56;92
5;1.57;92
5;1.58;90
5;1.59;96
5;1.6;96
5;1.61;98
5;1.62;100
5;1.63;100
5;1.64;100
5;1.65;100
5;1.66;100
5;1.67;100
5;1.68;100
5;1.69;100
5;1.7;100
5;1.71;100
5;1.72;100
5;1.73;100
5;1.74;100
5;1.75;100
5;1.76;100
5;1.77;100
5;1.78;100
5;1.79;100
5;1.8;100
6;1.35;0
6;1.36;2
6;1.37;2
6;1.38;4
6;1.39;4
6;1.4;6
6;1.41;8
6;1.42;14
6;1.43;14
6;1.44;24
6;1.45;28
6;1.46;36
6;1.47;40
6;1.48;46
6;1.49;56
6;1.5;70
6;1.51;76
6;1.52;78
6;1.53;80
6;1.54;86
6;1.55;90
6;1.56;90
6;1.57;92
6;1.58;92
6;1.59;98
6;1.6;96
6;1.61;98
6;1.62;100
6;1.63;100
6;1.64;100
6;1.65;100
6;1.66;100
6;1.67;100
6;1.68;100
6;1.69;100
6;1.7;100
6;1.71;100
6;1.72;100
6;1.73;100
6;1.74;100
6;1.75;100
6;1.76;100
6;1.77;100
6;1.78;100
6;1.79;100
6;1.8;100
7;1.35;4
7;1.36;0
7;1.37;4
7;1.38;4
7;1.39;2
7;1.4;6
7;1.41;12
7;1.42;16
7;1.43;14
7;1.44;28
7;1.45;26
7;1.46;34
7;1.47;44
7;1.48;48
7;1.49;60
7;1.5;70
7;1.51;74
7;1.52;86
7;1.53;84
7;1.54;84
7;1.55;90
7;1.56;92
7;1.57;92
7;1.58;96
7;1.59;98
7;1.6;98
7;1.61;100
7;1.62;100
7;1.63;100
7;1.64;100
7;1.65;100
7;1.66;100
7;1.67;100
7;1.68;100
7;1.69;100
7;1.7;100
7;1.71;100
7;1.72;100
7;1.73;100
7;1.74;100
7;1.75;100
7;1.76;100
7;1.77;100
7;1.78;100
7;1.79;100
7;1.8;100
