name;fraction;success
K=4, Unary;1.4;0
K=4, Unary;1.42;0
K=4, Unary;1.44;0
K=4, Unary;1.46;0
K=4, Unary;1.48;0
K=4, Unary;1.5;3
K=4, Unary;1.52;33
K=4, Unary;1.54;46
K=4, Unary;1.56;46
K=4, Unary;1.58;80
K=4, Unary;1.6;93
K=4, Unary;1.62;76
K=4, Unary;1.64;90
K=4, Unary;1.66;100
K=4, Unary;1.68;100
K=4, Unary;1.7;100
K=5, Unary;1.4;0
K=5, Unary;1.42;0
K=5, Unary;1.44;6
K=5, Unary;1.46;6
K=5, Unary;1.48;13
K=5, Unary;1.5;26
K=5, Unary;1.52;56
K=5, Unary;1.54;76
K=5, Unary;1.56;73
K=5, Unary;1.58;83
K=5, Unary;1.6;96
K=5, Unary;1.62;96
K=5, Unary;1.64;96
K=5, Unary;1.66;100
K=5, Unary;1.68;100
K=5, Unary;1.7;100
K=4, Cutoff;1.4;0
K=4, Cutoff;1.42;0
K=4, Cutoff;1.44;0
K=4, Cutoff;1.46;3
K=4, Cutoff;1.48;0
K=4, Cutoff;1.5;13
K=4, Cutoff;1.52;36
K=4, Cutoff;1.54;36
K=4, Cutoff;1.56;46
K=4, Cutoff;1.58;63
K=4, Cutoff;1.6;90
K=4, Cutoff;1.62;100
K=4, Cutoff;1.64;96
K=4, Cutoff;1.66;96
K=4, Cutoff;1.68;100
K=4, Cutoff;1.7;100
K=5, Cutoff;1.4;0
K=5, Cutoff;1.42;0
K=5, Cutoff;1.44;3
K=5, Cutoff;1.46;13
K=5, Cutoff;1.48;16
K=5, Cutoff;1.5;20
K=5, Cutoff;1.52;40
K=5, Cutoff;1.54;70
K=5, Cutoff;1.56;83
K=5, Cutoff;1.58;76
K=5, Cutoff;1.6;93
K=5, Cutoff;1.62;96
K=5, Cutoff;1.64;100
K=5, Cutoff;1.66;100
K=5, Cutoff;1.68;100
K=5, Cutoff;1.7;100
